hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
RPS3AP49,0.014,0.018,0.0495,0.0385
RPL7AP6,17.85,35,18.5,22
IGKV1-33,2,30,1.34,0.675
MUC20-OT1,116.37,242,29.64,5.565
,1.48,1.7,0.86,1.215
AMACR,8.595,0.035,0.016,21.155
MTFP1,170.5,407,404.585,24.3
SNHG3,50.75,427,8,46.5
,0.007,0.018,0.0485,0.025
RPL5P29,0.295,0.24,0.0825,0.145
ARFGAP3,113.15,1051,214.55,327
LINC00996,0.055,0.12,0.08,0.075
C22orf39,38.71,186,70.57,181
,0.485,0.72,0.485,0.17
PEG10,0.355,1.1,0.017,0.0395
RPL5P3,0.107,0.053,0.0655,0.0655
,22,48,21,35
,0.125,0.12,0.0345,0.13
RPS21P4,0.285,0.14,0.017,0.075
IGKV1-39,12.0485,385,19.63,93.5
EIF6,414.45,1033,49.5,555.5
RPL7AP11,1.566,3.4,1.82,2.7
RBBP4P2,0.175,0.14,0.185,0.08
,0.425,0.15,0.26,0.26
MRPL20,1234.5,451,1057,1644
IGKV2D-28,10.5,0.2,27.565,169.5
DCAF13P1,0.0345,0.16,0.0325,0.21
RPL21P11,0.0415,0.12,0.036,0.0265
HLA-DMB,237.85,3.8,0.69,56.3
DECR2,16.115,15,0.0345,0.038
GNG10,228,295,0.26,152.525
,0.1755,0.017,0.048,0.013
RPS27AP1,0.007,0.053,0.017,0.063
RPL5P12,1.73,3.4,2.1,2.1
RPSAP26,0.185,0.16,0.05,0.15
AP5Z1,4.616,0.018,39.0325,0.12
,0.074,0.14,0.0985,0.1015
,0.145,0.24,0.195,0.36
FTH1P23,0.985,1.5,0.385,1.315
,0.076,0.23,0.1435,0.09
FTH1P4,0.16,0.19,0.0325,0.215
,15.15,25,6.75,10.05
RPL12P35,0.0365,0.053,0.0335,0.014
PTMAP8,0.27,0.3,0.2385,0.1915
,0.41,0.41,0.485,0.345
MRPL33,447.5,1424,956.5,1753
,0.12,0.13,0.17,1.485
MICAL3,0.044,0.088,1.31,0.0515
,1.3985,1.1,0.5,0.87
,13,17,11.55,7.05
IGKV2-30,1.024,0.4,1.15,1.1
PRAF2,28.0325,178,0.175,153
IGKV1-12,2.95,0.035,30.58,0.0645
STMP1,429,1747,418.5,534.5
KCTD7,11.075,0.053,9,1.55
RPL3P3,0.06,0.12,0.033,0.0865
TICAM2,13.8,0.088,0.016,0.055
,0.1285,0.11,0.0325,0.0395
C4orf48,218.16,315,67.5,826
IGKV1-5,23.58,1.6,118.275,22.5
RPS23P1,0.028,0.018,0.017,0.038
,0.065,0.088,0.033,0.104
HNRNPKP4,3.55,2.6,0.28,1.8
,1.14,15,0.27,0.038
IL10RB,467.5,510,552,711
CFB,8,0.018,0.017,0.395
ZNF487,22.016,0.07,0.0345,0.0265
RPS4XP14,0.0465,0.018,0.0285,0.0645
WDR92,0.014,51,0.0345,0.445
NME2,528.5,109,105,511
RPL37P23,0.505,1.1,1.79,0.41
PLA2G4B,57.05,0.018,0.24,0.065
NPIPB5,279.5,386,246,501
TTC4,546,65,44.5,146.5
RPLP0P2,0.57,0.93,1.165,0.345
TMEM35B,943,649,334.5,447
HLA-L,18.85,6.9,1.85,3.965
ST13P15,0.34,0.18,0.115,0.4335
,0.0535,0.12,0.12,0.245
APOBEC3D,241,68,198.5,120
RPL5P17,0.615,0.99,0.49,0.54
MRPS6,1681.5,2387,403.5,1965.5
ZNF512,11.5,0.018,0.05,3.4
GSTA1,11.021,0.035,0.033,0.075
,0.0057,0.018,0.019,0.105
RPL23AP65,0.77,1.2,0.89,0.69
VTI1BP1,0.007,0.053,0.17,0.0265
NFS1,35.13,0.035,165.016,63.5
,0.53,1.4,1.45,0.885
DDOST,320,1078,362.8,829
TMEM199,8.645,279,0.07,0.52
RPS4XP6,0.45,1.4,1.25,0.89
DNAJC25-GNG10,63.815,173,48.0345,37.2
IGKV2-28,3.115,2.1,3.85,116
PDCL3P4,25.5,5.4,2.08,7.4
WWP1P1,0.0415,0.088,0.016,0.675
P2RY11,0.716,1.6,5.605,0.13
TMEM141,22.4,107,13,96.5
,0.007,0.018,0.082,0.0515
,0.0175,0.14,0.017,0.0395
RPL32P29,10.5,0.12,0.425,0.95
DBNDD2,446.5,0.018,40.45,0.23
,144.5,101,62,67
RPL7P23,4.25,4.6,2.35,3.7
,151,113,104,106
ETV5,1.745,0.035,0.0345,0.0515
IGKV3-15,1.0325,1.2,176.35,3.85
ENO1P1,6.195,0.12,0.215,0.235
RBM12,876.5,342,150.58,260.5
OR2A1-AS1,0.1575,5.5,0.0325,9.9
,176.5,79,49,0.382
APOBEC3C,10371,5468,2979,5355.5
,30.65,27,0.5,14.5
,18.25,9.2,63,5
RPL21P120,0.08,0.28,0.185,0.1645
,0.014,0.088,0.0335,0.0115
MIATNB,23.016,39,0.085,77.95
FCGR2C,0.155,0.035,0.262,0.0395
UBE2V1,1243,3885,2949,2471.5
PTCHD4,0.27,0.37,0.17,0.18
,28.016,0.035,0.0485,23
,16.3,24,24,18
,1.5485,5.8,1.5,2.75
C4A,1.4,0.0088,0.112,0.013
N4BP2L2,1657.5,567,1121.5,1197.5
GABPB1-AS1,965,186,22.565,206.5
SMARCA5-AS1,58,107,51.0285,10
,4.85,0.035,0.085,0.025
EEF1A1P4,0.136,0.088,0.016,0.065
SAP30L-AS1,0.265,1.9,0.05,94.75
NEAT1,1616,3408,987.5,952
RORA-AS1,10.5,0.62,54.5,0.0235
,0.0395,12,7.5,0.013
,110.5,209,162.5,69.5
SNHG6,198,305,22.58,212.5
LINC01184,44.305,41,0.017,0.625
,21.75,267,11.6,58.15
RAB30-DT,20.115,0.035,0.1025,0.955
UBR5-AS1,128,67,72.5,0.205
,0.75,0.11,425.5,1.5265
,7,81,0.017,71.575
LINC002481,93.5,0.035,42,779.5
,228.055,0.053,158.19,4.9
H2AJ,225.5,273,217.5,21.05
,59.5,0.11,32,1.8
PGAM5,170,12,135.5,135.5
,290.5,6.6,0.376,0.0515
ZCCHC3,115.55,174,0.8985,109
TMED2-DT,0.73,0.58,0.85,0.52
OIP5-AS1,215,1620,219.5,828.5
SDCBPP2,0.06,0.053,0.016,0.08
TWF2,156.7,13,0.0325,557
MTND4P12,0.365,0.28,0.32,0.57
PCED1B-AS1,3370.5,2622,872,1611
TMEM161B-AS1,185.2,0.07,122,0.025
LINC00926,2.3,0.088,0.066,0.44
,0.11,3,0.34,0.15
UBA6-AS1,2.8,831,47,24
NNT-AS1,0.0415,0.47,0.0325,21.25
RRN3P1,103.5,199,6,684.5
GAPDHP60,0.091,0.16,0.082,0.165
,0.056,0.085,0.0455,0.036
TRIM52-AS1,29.5325,9,0.0325,31.5
SUMO2P17,5.95,9.8,2.75,9.4
LUCAT1,0.111,30,0.322,0.25
CDK11B,428.5,224,130.5,80
WHAMMP2,0.31,0.035,0.0345,0.7
POU5F2,10.0485,0.018,0.017,0.08
MTATP6P1,4420.5,4394,1910.5,3240.5
NPM1P21,0.037,0.14,0.147,0.025
STIMATE-MUSTN1,4.86,57,0.31,0.025
GAPDHP40,0.018,0.063,0.067,0.013
RBM14-RBM4,10,220,0.8345,0.48
LY75-CD302,63.5265,0.22,39,0.6
HIGD1AP14,0.0395,0.071,0.065,0.0395
SERBP1P6,0.1875,0.49,0.0355,0.575
,0.125,0.035,0.13,19.5
FMN1,0.095,0.035,3.64,0.0515
BCLAF1P1,0.1735,0.11,0.0325,0.0395
,1.795,8.2,1.585,2.32
,0.255,0.18,0.0655,6.5
HMGN2P4,1.85,1.7,0.83,2.15
,2.115,35,35.5,23.5
LINC02362,0.0505,0.07,0.4,1.3
HAUS5,504.5,88,0.42,0.105
SUDS3P1,0.075,0.76,0.016,0.05
,2.018,0.024,36.5485,0.0515
ATP5MGL,0.575,0.56,0.147,0.3
,0.2265,1.1,0.55,0.23
,6,44,0.0345,0.095
EEF1A1P9,0.3235,0.44,0.325,0.735
,21.735,56,0.016,76.5265
UGDH-AS1,0.007,0.088,0.07,2.6765
NPM1P27,30.5,85,20.5,51
NAIP,4.425,0.035,0.38,27.50435
ZNF286B,26,3.9,0.151,380.5
RBBP4P1,0.945,0.3,0.452,0.38
GAPDHP70,0.075,0.053,0.016,0.013
MIR302CHG,4.2,0.9,0.27,1.385
SERBP1P5,7.1,5.4,1.955,6.15
,3.095,0.055,0.1885,0.17
,10.5325,0.07,0.017,6.025
LINC02503,0.03,0.035,0.0825,0.113
NOP14-AS1,0.14,111,0.26,0.155
ZNF564,24.5,0.07,0.13,0.195
LINC02242,0.1335,0.47,0.033,5.195
SCARNA22,6.4,13,13.5,0.55
EAF1-AS1,3.11,0.59,1.13,1.7
EEF1A1P19,0.41,0.55,0.4,0.5
SNX5P1,0.315,0.23,0.095,0.225
PDCD6,794.5,679,772.5,972
RAC1P2,18,8,0.75,11.35
,5.514,0.12,22.016,0.0255
HMGB1P3,16.016,60,263.37,0.0225
ARPIN-AP3S2,61.85,33,51.516,146.075
EEF1A1P13,11.35,14,4.7,10
,4.7,85,0.1495,35
,0.065,0.7,81.5,2.35
ZNF718,0.046,0.088,0.016,0.205
SMIM20,38.405,159,27.065,163.05
,0.2775,0.12,0.091,0.013
,0.023,0.053,0.0345,0.325
,0.4725,1.6,4.937,63.625
LRRC37BP1,70.5,7.7,0.0335,1.18
GMPSP1,0.65,3.1,1.05,2.9905
CCT6P2,0.13,0.018,0.105,0.16
,0.485,1.5,0.695,20
SNRPCP8,0.0345,0.035,0.08,0.0265
SELENOP,27.155,0.088,0.26,0.26
,0.165,0.33,0.0825,0.145
,2.25,1.3,1.95,0.85
HNRNPKP1,0.2145,0.22,0.0445,0.25
RNPS1P1,1.95,1.4,0.07,3.2
H3P14,0.104,0.18,0.042,0.1515
,17.555,17,0.017,0.475
,0.014,0.035,0.05,0.215
THAP9-AS1,306,359,0.033,0.44
,0.007,0.93,0.0325,30
,20.5,1.2,1.38,0.4
,30,90,0.155,0.013
SNRPCP2,0.1435,0.035,0.1295,0.065
,0.065,0.45,0.2555,0.1325
LINC02384,15,108,498.5345,94.5
,0.051,0.089,0.0835,0.15
HAUS1P1,0.0555,0.07,0.029,0.05
CENPS-CORT,67.63,0.66,0.065,12.513
IGKV1D-39,6.5,111,80.25,11.5
MALAT1,510129.5,673325,322385,606387.5
,0.0395,0.14,0.145,0.18
MSNP1,0.4,0.37,0.1295,0.315
RNU1-125P,3.1,3.2,0.09,1.25
H2AZP2,0.155,0.4,0.13,0.115
,0.021,0.41,0.1335,0.0765
,0.56,0.4,0.0325,0.61
SHLD3,64.5325,0.018,0.016,389.5265
CCDC71L,0.021,0.49,0.05,0.09
TMEM200B,27,21,12.5,0.445
,1.85,2,3.2,5.05
TUG1,117,2290,71.19,157.95
,10.125,1.8,17.05,7.6
SRPK2P,0.1145,0.11,0.155,0.325
LINC02099,0.216,96,39.5,22.013
NACA2,0.855,1.3,1.39,2.35
MIR3142HG,272.5,13,68.5,189.513
RNF5P1,5.65,2.3,0.435,47.65
EIF5AL1,19.05,10,22,29
TAGLN2P1,0.545,0.68,0.2195,3.725
,4.4,4.6,3.65,2.65
ALG11,24.0325,102,252.5,114.15
ATXN7L3B,145,476,138.5,16.2
PRKDC,1494,1793,1085.5,1352
PCDHGA6,0.0415,0.21,0.033,0.065
OTUD6B-AS1,215.75,210,551,2075.5
,0.855,0.72,0.42,0.125
UTP14C,0.3,248,30.016,0.205
,0.035,1.1,1.02,0.625
,126.805,385,0.0485,118.8
,0.0315,0.018,0.105,0.052
HMGN1P38,3.75,3.6,3.5,3.3
,6,17,19.5,0.013
,0.095,0.035,0.016,0.055
IGKV2-29,0.0325,2.2,0.19,1
ZNF260,20.065,0.14,0.016,31.525
LYN,51.095,130,208.97,0.775
PINX1,26.58,0.053,97,83.5
NPIPB11,100,63,0.755,5.2
PAICSP4,0.014,0.21,0.016,0.025
LINC00824,0.375,0.19,0.135,0.465
,0.1185,0.44,0.25,0.145
MYL12AP1,0.59,0.91,0.415,0.315
CHKB-CPT1B,9.5,0.044,0.016,1.4455
,14,22,11,0.115
PTP4A2P2,0.0995,0.053,0.034,0.105
,52,33,43.5,51.12
CHMP4A,825.5,1075,1613.5,1119
CSNK2A3,30,1,0.017,12.7
,37.5,36,25.2,64
TMED10P1,0.0555,0.07,0.033,0.0265
WAC-AS1,0.53,143,92.5,37.2
,0.11,0.83,0.215,0.54
FPGT,6,0.053,11.5,157.5
,0.1075,0.11,0.016,0.025
,0.107,0.054,0.033,0.013
,0.014,0.053,0.8,0.145
IGLL5,377,4.3,2.325,31
,0.007,0.0068,0.016,0.0405
,1.375,2.8,0.96,1.765
NAP1L1P1,0.315,0.18,0.112,0.245
EEF1G,6524,7656,4035,4800.5
,0.165,0.49,0.0495,0.23
CKLF-CMTM1,0.216,13,1.338,0.585
SNRPCP14,0.0345,0.018,0.065,0.038
GVINP1,249,0.12,109.516,198.55
NPIPA2,0.3025,0.044,0.12,0.15
,147.5,51,349.5,623.15
,8.75,18,12.6,77
SCARNA9,27,17,16.95,1.47
DPP3,10.0325,107,231.0325,154.5
ANKHD1-EIF4EBP3,194.5,105,4.65,17.528
BRK1,1712,786,924,379.5
PIGY,2.75,0.26,0.0325,0.12
ZFP91-CNTF,188.5,223,136.65,42.55
CHMP1B,315.1,707,593.5,627
,46.1,3.8,4.87,30.5
EID3,91.63,0.053,0.033,67.5
HTD2,79.25,121,149.595,0.195
PDXDC2P,20.5,0.19,18.05,0.2
SNHG9,43.5,31,60.5,36
NPM1P35,0.086,0.22,0.085,0.1515
CARD17,0.18,34,173,13.5
,0.123,0.084,0.0365,1.35
EID1,3058,2507,1408,1898
,21.5,28,24.55,24.5
EBLN2,2.3,0.26,199.017,77.1
,8.1,0.32,0.0645,0.165
NEDD8-MDP1,0.04,0.022,0.115,0.135
POLR2M,108.175,362,13.016,924
,51,92,61.5,29.15
,1.63,17,0.095,20.65
PABPC1P4,1.35,2.7,1.75,1.65
,16.516,0.018,0.0325,0.013
SNHG1,154.7,64,1047,10.05
TDGP1,26.5,57,21.5,36.3
KLRC4-KLRK1,3.4345,0.34,0.0175,2.55
MTRNR2L8,0.0485,0.54,0.0995,0.0265
,1.08,0.79,1.28,1.9
PXN-AS1,167.0415,0.018,52,0.013
PDCD5P1,0.0395,0.018,0.0995,0.0515
RPS6KB2-AS1,0.566,0.018,0.017,0.013
PSMC1P9,0.104,0.043,0.132,0.031
ARAP1-AS1,14.85,13,0.0345,4.325
CTSO,0.2,730,0.1875,0.5
COA8,60.55,20,87.5,322.025
TRAPPC2B,850.5,399,1.017,43.05
ATP5MFP5,0.0395,0.053,0.0325,0.0265
ATF4P4,0.15,0.55,0.1075,0.05
,1.4,1.7,69.5,0.12
,1.6,1.1,1.485,0.6995
,0.79,0.88,0.33,1.075
ZNF10,3.115,4,24.016,235.5
SMIM3,632.565,954,284,243.1
SUPT16HP1,0.37,3,0.825,0.875
HMBS,0.25,119,70.0325,392
METTL8P1,0.311,0.088,0.07,0.265
,0.016,0.07,0.085,0.065
RPL41P2,10.7,13,4.55,7.45
HSPA8P5,0.2085,0.21,0.3,0.275
UBE2NP1,0.0625,0.088,0.0325,0.19
DND1,0.966,0.95,15.517,0.0545
,0.6,0.13,0.0265,0.065
,54.12,0.19,7,0.625
POLG2,43.016,159,244.1,0.75
SMIM10L1,164.65,476,249.58,758.55
TRAV1-2,18.08,62,0.08,204.055
,202.5,22,0.15,83.5
,621.5,24,292.016,216
,60.5,71,41.5,31
LIMS4,3.91,7.8,0.105,1.35
ZNF350,61.0485,13,267,0.85
,4.75,15,5.2,8.0265
,4.5,12,1.6,3.3
ZNF253,0.9,0.018,0.017,148.25
,0.165,0.7,0.099,0.01
TCP1P3,0.03,0.035,0.016,0.013
,6.016,0.088,0.0305,0.368
,26.1,3.6,3.8,0.65
SNRPEP2,0.345,0.52,0.285,0.115
LIMS3,83.5,182,11.15,33.525
RPL29P33,0.28,0.59,0.19,0.2
DENND11,7.5,277,29.08,689.45
LSM14A,1030.5,493,1051,1572
,116.5,61,58.5,67.5
,0.1065,0.053,0.155,0.155
GATC,98.585,1,1.5,191.5
,0.007,0.018,0.016,0.013
LINC01619,5.5,19,6.38,96.5
ZNF271P,119,719,162.5,1059.5
,2.3485,0.018,0.0655,0.05
ZBED6,65.14,1.1,0.26,3.2
,1.385,9.4,1.6,0.48
,10.55,5.4,37.5,2.65
,28.5,141,22.55,25.63
,10.735,0.28,1.45,0.76
,15.33,284,52.5,0.515
,0.995,2.5,2.15,0.8775
,2.85,12,8.21,25
,3.75,152,1.2,5.2
NPIPB1P,0.0295,0.088,0.016,0.025
,57,25,146,27.5
,0.1145,0.14,0.033,0.13
HSPD1P4,1.03,0.75,0.63,0.14
GALNT4,46.5,370,83,252.5
OVCH1-AS1,5.06,0.053,0.145,0.575
PSMA3-AS1,3330,2288,2072.5,3453.5
,24.13,73,54.575,0.22
GIHCG,19.805,0.018,0.016,94
CNPY2,876,885,131.95,820
,178,133,194.5,29.5
ST13P3,0.2675,0.42,0.22,0.36
EIF4A1P4,0.09,0.088,0.017,0.26
CNOT2-DT,20.016,123,222.517,301.65
HNRNPA3P10,0.225,0.23,0.5,0.5
CUX1,126.5,0.26,0.435,241.5
,0.182,0.053,0.0495,0.054
TEN1,100.08,67,10.15,1.225
P2RX5-TAX1BP3,10.15,19,1.55,1.755
HIGD1AP1,0.555,0.39,0.24,0.25
,269,53,1003.5,1155
,0.109,0.18,0.0325,0.055
MAP1LC3B2,17.7,35,10.3,22.7
HSPE1P4,0.1965,0.25,0.235,0.28
,7.5,12,30,9.5
,0.31,0.035,0.0485,0.175
,0.1535,0.082,0.08,0.065
,77.805,116,75.755,83.6
CHURC1,283.5,929,412.5,1696
NUTF2P2,0.185,0.11,0.033,0.05
,2.83,0.091,0.0175,90.465
C17orf49,1376,988,579.45,535
,6.085,0.81,0.017,66.5
,0.18,0.19,0.101,0.12
,0.06,0.079,0.0985,0.185
,143,54,398.5,3.95
RBM8B,6.3,15,4.47,6.6
,34,0.32,0.23,205.6
LINC00641,22,424,2.2485,0.18
,0.85,0.035,0.475,0.48
LINC00239,57.0325,48,0.016,168.5
RHOQP1,14.5,0.11,0.016,0.013
,0.845,1.5,5.516,0.13
BCL2L2-PABPN1,23.2,146,164.5,75
SYNJ2BP-COX16,72.5,57,61.5,82.6
HSPE1P2,6.2,11,7.945,4.1
,0.008,0.57,0.016,0.145
,1.1,0.6,0.105,1.114
,0.3085,12,180,0.2265
,313.5,154,424,646
,0.128,0.4,0.023,0.0265
RAP1AP,0.03,0.018,0.0325,0.025
,3,7.1,12.5,1.07
,56.5,0.13,0.212,13.56
,8,33,0.0485,308.175
CEP95,52.5,93,0.185,79.75
,0.45,156,0.55,0.515
,0.8,20,0.8,0.065
NPM1P5,0.067,0.14,0.0165,0.025
,19.065,126,193.565,0.0595
,0.7,0.35,43.565,0.032
,42,274,10.075,60.83
DNAJC8P1,0.165,0.07,0.12,0.065
ENSAP2,0.5645,0.22,0.05,0.675
BLOC1S5-TXNDC5,0.013,1.5,0.11,0.0265
HNRNPUP1,0.815,0.21,0.105,0.1145
,0.024,0.032,0.043,0.09
,0.06,0.079,0.0985,0.185
,0.0235,13,0.065,0.014
POC1B-GALNT4,2.6,310,147,0.08
,8.0485,0.82,1.15,9.8
SMARCE1P3,0.0415,0.11,0.0325,0.055
NDUFC2-KCTD14,0.35,15,10.605,0.335
,2.065,0.085,0.13,0.1
,1.425,0.56,0.315,0.95
,1.816,2.5,0.016,0.013
,7,0.16,50.5,0.013
USP3-AS1,16.5325,0.75,0.033,0.022
,0.49,1.5,6.017,129.5
,18,137,12,0.013
ST20-MTHFS,34.5,11,2.8265,9.36
,57,0.088,162.5,0.071
,0.00445,0.018,0.041,0.0335
,0.028,0.72,0.0495,0.075
,0.097,0.12,0.07,0.105
MRPL46,770.5,393,93.67,153.5
,1.09,0.19,3.2,2.15
,0.6,0.12,5.5,0.267
RBM17P4,0.1145,0.41,0.085,0.1
,61,4.9,0.0505,490.555
,0.065,1.3,0.016,0.013
,0.0995,0.35,0.0495,0.7
ST20-AS1,2.65,0.25,1.8,54.9
,81.0325,78,603.5345,5
,3.5795,35,8.4,24
HMGB1P8,4.566,1.5,1.245,0.25
,18,69,19.5,14.5
HSP90B2P,0.475,0.19,0.34,0.105
HSPE1P3,1.69,19,1.825,1.65
HMGB1P6,668.5,605,604,628
ANP32BP1,0.87,0.39,1.23,0.6
,139.25,0.53,1.7325,43
,842.5,295,593.517,774
NR4A1AS,4.765,33,0.155,0.485
NDUFA5P11,0.89,0.59,1.15,1.5
,2.5,0.67,495,0.925
,0.2,0.12,0.1295,0.128
RBM15B,86.74,7.2,89.24,11
,8.4,75,6.65,15.5
,264.6,879,517,1324.5
,2.355,28,0.016,48.055
NORAD,252,220,278.8,462
NSFP1,0.166,2.7,0.065,176
,0.021,0.37,0.017,28
,0.8615,1.2,1.43,1.95
,0.09,0.018,6.5,0.055
PMF1-BGLAP,49,0.42,0.0345,2.45
APOOP5,0.007,0.053,0.016,0.055
,0.125,1.2,0.0335,0.17
,957,432,6.1,2362.5
,1.516,0.094,40.31,25.5
SLX1B-SULT1A4,0.226,0.99,70,9.595
,0.28,0.018,0.275,3.775
MRC1,3.565,0.018,0.29,0.038
,9.05,9.2,5.85,19.25
,104.1,546,1.40355,86.065
,81.5,0.051,3.45,4.285
,0.03,0.035,95.5325,0.065
WBP11P1,0.215,0.14,0.017,0.0515
,148.5,0.088,54.0345,118.7
MYL12BP1,0.255,0.39,0.162,0.26
,0.021,0.14,0.05,0.352
,4.555,39,13,72.6
MT1L,43.145,80,1.55,15
ERVK13-1,52.0485,5.5,82.8,0.14
,10.68,56,7.6,21
,5.68,0.018,0.435,54.5
,2.05,183,0.106,50.5
,91.75,267,0.095,3.04
,10.2,3.2,4.5,26.5
,4.85,3.1,1.917,5.7
,225.5,226,439,134
,2.265,166,90.5,0.36
,0.566,0.46,0.0485,0.405
,10.516,0.022,0.017,2.9
CCPG1,222,585,366.5,578.5
SPCS2P1,0.55,3.3,4.8,0.5
,14.542,60,0.113,0.135
CAPN10-DT,0.028,0.018,0.086,0.0265
,0.255,154,3.7825,407.5
,0.2,0.14,0.016,0.08
SULT1A3,20.6,0.88,2.185,0.16
,3.55,19,0.805,2.205
,0.0485,0.035,0.017,0.16
EPPK1,0.66,3.5,0.066,0.2645
,0.007,0.18,0.05,1.413
BOP1,0.496,144,0.132,73
PECAM1,80.5,2.5,0.49,24.7
,0.0495,0.018,0.0165,0.025
,0.0575,0.088,0.017,0.46
,52.5,121,37.5,13.25
,1.3,0.32,11.8,0.5
SMG1P7,4.1,0.12,0.365,0.175
,20,17,46,24
,0.0305,0.059,0.0485,0.16
,101.5,141,129.5,106
GAN,120.5,83,502,221.5
SUB1P3,0.48,0.49,0.205,0.35
,0.0925,0.39,0.082,0.234
,30.5,0.035,0.07,71.5
,0.014,0.035,53.0325,0.013
,1.95,49,54.5,91.05
H2BC20P,12,6.5,0.016,0.0645
,5.75,3.1,2.0985,0.41
BOLA2-SMG1P6,752.5,1358,148.5,214.195
,2.03,17,0.0495,29.5
,71.385,58,1.01,81.85
LINC00662,0.2425,0.07,139.5485,0.0265
,15.048,18,0.5,41.549
,57,48,3.06,25
MMP25-AS1,13.825,2.9,12.05,0.155
,2.166,20,8.016,192.5
,75.5,76,0.016,0.042
,66.0485,249,508.5,0.013
,14,0.018,70.518,0.085
CORO7,124.5,243,2.6325,45.5
MMP12,5.115,3,4.3,6.5395
,3.465,1.6,4.15,26.86
,6.5,8.8,3.7,0.013
MIR193BHG,0.037,0.035,0.0325,0.025
SPDYE9P,7.00E-05,0.39,0.000485,0.000265
TXNP4,0.007,0.035,0.0325,0.013
,4.3395,0.04,75.5,18
,10.516,0.018,69,142.695
OVCA2,170.64,211,206.45,429.5
MRPL12,92.9,193,33,2.73
,28.15,6.2,29,47.5
CCNQ,97.5,0.14,74,39.525
,1147.5,247,270.05,586
GTF2I,38,56,27.75,88.65
ROCK1P1,0.13,0.018,0.016,0.1915
,0.105,7.2,0.1175,0.115
,19.5,130,0.016,13.05
,64.514,0.035,3.395,33.5
HNRNPCP4,0.1465,0.13,0.0495,0.089
,236.5,814,1.775,332.5
RPS7P1,31.5,99,52,88
,0.94,0.16,1.117,7.555
,36.445,7,11.016,0.23
TAPT1-AS1,0.023,0.036,0.017,0.0265
,0.1525,34,0.086,121.5
SRSF8,164.35,662,2.71,541
IKBKE,71.4,19,0.21,26.185
UBBP4,89,55,39.5,60.5
,0.6985,0.035,0.085,1.105
,38.795,41,0.8735,78
BPTFP1,0.0315,0.31,0.0205,0.07
RN7SL4P,4.25,1.2,0.1035,11.5265
LINC00667,0.46,0.14,161,172.8
,19.57,2.9,0.4975,9.085
,0.285,0.19,0.2575,0.245
,0.197,0.055,0.072,3.08
SINHCAFP1,0.85,4.1,0.145,3
,29.3,2.5,0.0325,12.5
SNORD3A,14,34,0.0043,0.315
NBPF11,426.05,4.2,0.535,8.75
,62.5,25,62,12.86
,4.365,110,6.5,16.5
RNU4ATAC,0.55,0.47,0.05,0.1
LINC00909,46.5,0.75,14.5,0.235
,0.0325,0.21,0.231,0.025
NOTCH2NLA,33.235,102,18.017,332.5
SNRPGP2,0.322,0.32,0.22,0.1005
DYNLL2,39.5,202,20.5,0.2515
RN7SL718P,0.0395,0.035,0.017,0.038
NCMAP-DT,54.5,113,0.08,39.585
RN7SL731P,3.516,0.051,0.031,1.75
OTUD7B,592,182,26.016,269.2
SUZ12P1,13.5,14,17,58.0395
,28.565,0.25,9.1,114
,0.785,2.5,102.7,19.5
,159.5018,0.068,0.0145,2.4
,10.45,158,3.75,23.3
,1.165,0.035,135,0.013
,195.5,216,55.935,222
,14.125,7.6,80.5,45
SRP72P1,0.014,0.07,0.017,0.0265
SNORD3B-1,0.0011,0.018,0.0043,0.075
RBM8A,2251,5573,1656,1915
,39.95,3.8,1.995,9.85
,11,15,68,0.0265
,0.007,0.26,0.33,37.635
TIMM23,207.5,240,536.29,370.5
,38,112,90,69.5
RNF115,85.65,87,32.275,4.5
,0.1285,0.33,0.115,0.115
,13.665,139,24.5,0.21
,0.225,0.021,0.065,4.225
RPL17,2911.5,4487,3915.5,2755
,13.5,10,90,7.875
,114.5,76,27.016,0.5
SEC22B,4375.5,1026,1569,1793
FSBP,6.5,40,0.06,143
,1.2,22,3.3555,0.15
TXNIP,1595,654,1523,870.5
SRGAP2,697.5,429,655.5,120.5
NDUFV2-AS1,76.5485,234,0.016,0.8895
,0.0085,17,1.05,0.075
,0.195,0.018,6.5,0.013
RASSF5,778.275,1164,646,692
STRADA,56,16,0.033,1.1
,0.0575,0.053,0.033,0.065
UBL5P2,0.265,0.26,0.0655,0.18
NBPF15,60.5,19,3,471.05
,0.007,0.018,0.0165,0.0265
NCOA4,419,1337,902.5,581.5
MRPS21,471.5,599,108.725,908
,0.275,0.35,0.55,0.975
PSMD7P1,0.044,0.018,0.017,0.038
AARSD1,13.74,7.8,34.5485,447.5
,106.075,0.71,0.06,0.026
,0.055,1.5,0.12,0.23
,4.01,1.4,0.016,0.195
,1.575,0.28,1.41,1.35
ILF3-DT,56.71,285,0.2,71.55
RPL10P15,0.0675,0.018,0.053,0.0265
,52.555,25,16,19.555
,22.725,60,12.016,108.5
,0.027,0.046,0.049,0.0185
CHMP1B-AS1,20.56,38,163.5,100.59
PTP4A2P1,1.2,0.86,0.8485,2.05
,27.55,42,569.75,40
MAP3K14-AS1,3.55,46,0.14,16.5
,1.13,54,97,48.575
SELENOKP1,1.515,1.4,0.875,1.075
SNHG30,47.9,181,274,3.55
SNHG22,79.15,61,0.0325,7.15
GEMIN7-AS1,2.45,9.7,7.5,3.1
,0.083,0.038,0.085,0.015
,154,0.035,0.016,5.575
